"currently_testing","site","water_body","borough_state","neighborhood_town","latitude","longitude","last_sampled","district_council_number","x2021_lab_analysis_by"
false,"Raritan Bay, South Beach","Lower Bay","Staten Island","South Beach",40.579248,-74.074953,2012,"50",
true,"Raritan Bay, Waterfront Park","Raritan Bay","New Jersey","South Amboy",40.48334,-74.2698,2022,"N/A","Interstate Environmental Commission"
true,"Raritan River, 2nd Street Park","Raritan River","New Jersey","Perth Amboy",40.50007,-74.27719,2022,"N/A","Interstate Environmental Commission"
true,"Raritan River, Edison Boat Basin","Raritan River","New Jersey","Edison",40.48769,-74.38409,2022,"N/A","Interstate Environmental Commission"
true,"Raritan River, Ken Buchanan Park","Raritan River","New Jersey","Sayreville",40.47483,-74.35586,2022,"N/A","Interstate Environmental Commission"
true,"Raritan River, Riverside Park","Raritan River","New Jersey","Piscataway",40.54067,-74.51219,2022,"N/A","Interstate Environmental Commission"
true,"Raritan River, Rutgers Boathouse","Raritan River","New Jersey","New Brunswick",40.48826,-74.43384,2022,"N/A","Interstate Environmental Commission"
true,"Saw Mill River, daylighted section","Saw Mill River","Yonkers","Getty Square",40.9356552,-73.901795,2022,"N/A","Sarah Lawrence Center for the Urban River at Beczak"
false,"Sheepshead Bay","Sheepshead Bay","Brooklyn","Sheepshead Bay",40.583419,-73.945179,2021,"46","Interstate Environmental Commission"
true,"Upper Harbor, 69th Street Pier","New York Bay","Brooklyn","Bay Ridge",40.639326,-74.038539,2023,"43",
true,"Upper Harbor, Bush Terminal Park (Inner Lagoon)","Bay Ridge Channel","Brooklyn","Sunset Park",40.6546621,-74.018347,2022,"38","Billion Oyster Project's Williamsburg Field Station"
true,"Upper Harbor, Bush Terminal Park (North Embayment)","Bay Ridge Channel","Brooklyn","Sunset Park",40.6548329,-74.018245,2022,"38","Billion Oyster Project's Williamsburg Field Station"
false,"Upper Harbor, North Shore Esplanade","Upper Bay","Staten Island","St George",40.645481,-74.074752,2023,"49",
false,"Van Cortlandt Park Lake","Lake","Bronx","Van Cortlandt Park",40.8898985,-73.891811,2019,"11",
false,"Kill Van Kull, Brady’s Dock, Bayonne NJ",,"New Jersey","Bayonne",40.64512,-74.12563,2024,"N/A",
