"site","date","year","month","high_tide","sample_time","bacteria","precip_wk","precip_t0","precip_t1","precip_t2","precip_t3","precip_t4","precip_t5","precip_t6","notes","quality"
"Flushing Bay, World's Fair Marina Pier 1 East",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 10:51:00.000000-0400,220,1.36,0,0.34,1.02,0,0,0,0,"","Unacceptable"
"East River, Hallets Cove",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 07:20:00.000000-0400,228,1.36,0,0.34,1.02,0,0,0,0,"","Unacceptable"
"Newtown Creek, Dutch Kills ",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 10:20:00.000000-0400,2282,1.36,0,0.34,1.02,0,0,0,0,"","Unacceptable"
"Gowanus Canal, Second Street Sponge Park",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 08:15:00.000000-0400,4106,1.36,0,0.34,1.02,0,0,0,0,"","Unacceptable"
"Hudson River, Pier 40",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 12:34:00.000000-0400,0,1.36,0,0.34,1.02,0,0,0,0,"31 ","Not Detected"
"East River, Pier 42/Jackson Street",2012-06-14,2012,6,2012-06-14 05:09:00.000000-0400,2012-06-14 10:50:00.000000-0400,0,1.36,0,0.34,1.02,0,0,0,0,"","Not Detected"
"Newtown Creek, Dutch Kills ",2012-06-21,2012,6,2012-06-21 10:24:00.000000-0400,2012-06-21 10:30:00.000000-0400,10,0,0,0,0,0,0,0,0,"","Good"
"Flushing Bay, World's Fair Marina Pier 1 East",2012-06-21,2012,6,2012-06-21 10:24:00.000000-0400,2012-06-21 10:20:00.000000-0400,10,0,0,0,0,0,0,0,0,"","Good"
"Buttermilk Channel, Valentino Pier",2012-06-21,2012,6,2012-06-21 10:24:00.000000-0400,2012-06-21 09:00:00.000000-0400,10,0,0,0,0,0,0,0,0,"","Good"
"Hudson River, Pier 40",2012-06-21,2012,6,2012-06-21 10:24:00.000000-0400,2012-06-21 12:00:00.000000-0400,20,0,0,0,0,0,0,0,0,"","Good"
"East River, Anable Basin",2012-06-21,2012,6,2012-06-21 10:24:00.000000-0400,2012-06-21 11:15:00.000000-0400,20,0,0,0,0,0,0,0,0,"","Good"
"East River, Hallets Cove",2012-06-21,2012,6,2012-06-21 10:24:00.000000-0400,2012-06-21 10:44:00.000000-0400,20,0,0,0,0,0,0,0,0,"","Good"
